task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,29,clean,released_raw,ap-fresh-cube-029,False,150,30,4500,1350000,26120351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.0859,LeWM (5-action replanning),25,5
cube,150,150,29,prefix_a,released_raw,ap-fresh-cube-029,False,150,30,4500,1350000,26120351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.437,LeWM (5-action replanning),25,5
cube,150,150,29,prefix_b,released_raw,ap-fresh-cube-029,False,150,30,4500,1350000,26120351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.719,LeWM (5-action replanning),25,5
cube,150,150,30,clean,released_raw,ap-fresh-cube-030,False,150,30,4500,1350000,26121351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",57.3414,LeWM (5-action replanning),25,5
cube,150,150,30,prefix_a,released_raw,ap-fresh-cube-030,False,150,30,4500,1350000,26121351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",57.6805,LeWM (5-action replanning),25,5
cube,150,150,30,prefix_b,released_raw,ap-fresh-cube-030,False,150,30,4500,1350000,26121351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",58.2687,LeWM (5-action replanning),25,5
cube,150,150,31,clean,released_raw,ap-fresh-cube-031,True,3,1,150,45000,26122351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",1.8836,LeWM (5-action replanning),25,5
cube,150,150,31,prefix_a,released_raw,ap-fresh-cube-031,False,150,30,4500,1350000,26122351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.6689,LeWM (5-action replanning),25,5
cube,150,150,31,prefix_b,released_raw,ap-fresh-cube-031,False,150,30,4500,1350000,26122351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.7582,LeWM (5-action replanning),25,5
cube,150,150,32,clean,released_raw,ap-fresh-cube-032,False,150,30,4500,1350000,26123351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",53.6388,LeWM (5-action replanning),25,5
cube,150,150,32,prefix_a,released_raw,ap-fresh-cube-032,False,150,30,4500,1350000,26123351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",52.6913,LeWM (5-action replanning),25,5
cube,150,150,32,prefix_b,released_raw,ap-fresh-cube-032,False,150,30,4500,1350000,26123351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.5415,LeWM (5-action replanning),25,5
cube,150,150,33,clean,released_raw,ap-fresh-cube-033,True,11,3,450,135000,26124351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",5.3272,LeWM (5-action replanning),25,5
cube,150,150,33,prefix_a,released_raw,ap-fresh-cube-033,True,58,12,1800,540000,26124351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",21.4123,LeWM (5-action replanning),25,5
cube,150,150,33,prefix_b,released_raw,ap-fresh-cube-033,True,9,2,300,90000,26124351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",3.5449,LeWM (5-action replanning),25,5
cube,150,150,34,clean,released_raw,ap-fresh-cube-034,False,150,30,4500,1350000,26125351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",52.9287,LeWM (5-action replanning),25,5
cube,150,150,34,prefix_a,released_raw,ap-fresh-cube-034,False,150,30,4500,1350000,26125351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",52.4703,LeWM (5-action replanning),25,5
