task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds
cube,25,25,35,prefix_b,released_raw,ap-fresh-cube-035,False,25,1,150,45000,26126351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0517
cube,25,25,36,clean,released_raw,ap-fresh-cube-036,False,25,1,150,45000,26127351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.8926
cube,25,25,36,prefix_a,released_raw,ap-fresh-cube-036,False,25,1,150,45000,26127351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.7579
cube,25,25,36,prefix_b,released_raw,ap-fresh-cube-036,False,25,1,150,45000,26127351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.6045
cube,25,25,37,clean,released_raw,ap-fresh-cube-037,False,25,1,150,45000,26128351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.031
cube,25,25,37,prefix_a,released_raw,ap-fresh-cube-037,False,25,1,150,45000,26128351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0995
cube,25,25,37,prefix_b,released_raw,ap-fresh-cube-037,True,23,1,150,45000,26128351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.992
cube,25,25,38,clean,released_raw,ap-fresh-cube-038,False,25,1,150,45000,26129351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.7738
cube,25,25,38,prefix_a,released_raw,ap-fresh-cube-038,False,25,1,150,45000,26129351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3169
cube,25,25,38,prefix_b,released_raw,ap-fresh-cube-038,False,25,1,150,45000,26129351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.4987
cube,25,25,39,clean,released_raw,ap-fresh-cube-039,True,0,0,0,0,26130351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0061
cube,25,25,39,prefix_a,released_raw,ap-fresh-cube-039,True,0,0,0,0,26130351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0073
cube,25,25,39,prefix_b,released_raw,ap-fresh-cube-039,True,0,0,0,0,26130351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.006
cube,25,25,40,clean,released_raw,ap-fresh-cube-040,False,25,1,150,45000,26131351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.4009
cube,25,25,40,prefix_a,released_raw,ap-fresh-cube-040,False,25,1,150,45000,26131351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5017
cube,25,25,40,prefix_b,released_raw,ap-fresh-cube-040,False,25,1,150,45000,26131351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5051
cube,25,25,41,clean,released_raw,ap-fresh-cube-041,False,25,1,150,45000,26132351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.3817
cube,25,25,41,prefix_a,released_raw,ap-fresh-cube-041,False,25,1,150,45000,26132351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5193
cube,25,25,41,prefix_b,released_raw,ap-fresh-cube-041,False,25,1,150,45000,26132351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5522
cube,25,25,42,clean,released_raw,ap-fresh-cube-042,True,10,1,150,45000,26133351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.5109
cube,25,25,42,prefix_a,released_raw,ap-fresh-cube-042,False,25,1,150,45000,26133351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.4897
cube,25,25,42,prefix_b,released_raw,ap-fresh-cube-042,False,25,1,150,45000,26133351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.4735
cube,25,25,43,clean,released_raw,ap-fresh-cube-043,False,25,1,150,45000,26134351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.5507
