task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-rank,15,clean,0,150,240
cube,AP-rank,15,prefix_a,0,150,240
cube,AP-rank,15,prefix_b,0,150,240
cube,AP-rank,16,clean,1,25,40
cube,AP-rank,16,prefix_a,0,150,240
cube,AP-rank,16,prefix_b,1,30,48
cube,AP-rank,17,clean,1,52,88
cube,AP-rank,17,prefix_a,0,150,240
cube,AP-rank,17,prefix_b,0,150,240
cube,AP-rank,18,clean,1,38,64
cube,AP-rank,18,prefix_a,1,35,56
cube,AP-rank,18,prefix_b,1,39,64
cube,AP-rank,19,clean,1,23,40
cube,AP-rank,19,prefix_a,1,20,32
cube,AP-rank,19,prefix_b,1,20,32
cube,AP-rank,20,clean,1,53,88
cube,AP-rank,20,prefix_a,0,150,240
cube,AP-rank,20,prefix_b,1,62,104
cube,AP-rank,21,clean,0,150,240
cube,AP-rank,21,prefix_a,1,56,96
cube,AP-rank,21,prefix_b,0,150,240
cube,AP-rank,22,clean,1,39,64
cube,AP-rank,22,prefix_a,1,42,72
cube,AP-rank,22,prefix_b,1,29,48
cube,AP-rank,23,clean,0,150,240
cube,AP-rank,23,prefix_a,0,150,240
cube,AP-rank,23,prefix_b,0,150,240
cube,AP-rank,24,clean,1,45,72
cube,AP-rank,24,prefix_a,0,150,240
cube,AP-rank,24,prefix_b,0,150,240
cube,AP-rank,25,clean,1,31,56
cube,AP-rank,25,prefix_a,1,28,48
cube,AP-rank,25,prefix_b,1,24,40
cube,AP-rank,26,clean,1,27,48
cube,AP-rank,26,prefix_a,0,150,240
cube,AP-rank,26,prefix_b,0,150,240
cube,AP-rank,27,clean,0,150,240
cube,AP-rank,27,prefix_a,0,150,240
cube,AP-rank,27,prefix_b,0,150,240
cube,AP-rank,28,clean,1,20,32
cube,AP-rank,28,prefix_a,0,150,240
cube,AP-rank,28,prefix_b,0,150,240
cube,AP-rank,29,clean,0,150,240
cube,AP-rank,29,prefix_a,0,150,240
cube,AP-rank,29,prefix_b,0,150,240
cube,AP-rank,30,clean,0,150,240
cube,AP-rank,30,prefix_a,0,150,240
cube,AP-rank,30,prefix_b,0,150,240
cube,AP-rank,31,clean,1,26,48
cube,AP-rank,31,prefix_a,1,23,40
cube,AP-rank,31,prefix_b,1,35,56
cube,AP-rank,32,clean,1,21,40
cube,AP-rank,32,prefix_a,1,23,40
cube,AP-rank,32,prefix_b,1,29,48
cube,AP-rank,33,clean,1,16,32
cube,AP-rank,33,prefix_a,1,16,32
cube,AP-rank,33,prefix_b,1,51,88
cube,AP-rank,34,clean,1,24,40
cube,AP-rank,34,prefix_a,1,25,40
cube,AP-rank,34,prefix_b,1,18,32
cube,AP-rank,35,clean,1,38,64
cube,AP-rank,35,prefix_a,1,24,40
cube,AP-rank,35,prefix_b,1,38,64
cube,AP-rank,36,clean,1,19,32
cube,AP-rank,36,prefix_a,1,23,40
cube,AP-rank,36,prefix_b,0,150,240
cube,AP-rank,37,clean,1,29,48
cube,AP-rank,37,prefix_a,0,150,240
cube,AP-rank,37,prefix_b,1,27,48
cube,AP-rank,38,clean,1,37,64
cube,AP-rank,38,prefix_a,1,25,40
cube,AP-rank,38,prefix_b,1,31,56
cube,AP-rank,39,clean,0,150,240
cube,AP-rank,39,prefix_a,0,150,240
cube,AP-rank,39,prefix_b,0,150,240
cube,AP-rank,40,clean,1,35,56
cube,AP-rank,40,prefix_a,1,39,64
cube,AP-rank,40,prefix_b,0,150,240
cube,AP-rank,41,clean,0,150,240
cube,AP-rank,41,prefix_a,0,150,240
cube,AP-rank,41,prefix_b,0,150,240
cube,AP-rank,42,clean,1,14,24
cube,AP-rank,42,prefix_a,0,150,240
cube,AP-rank,42,prefix_b,0,150,240
cube,AP-rank,43,clean,1,0,0
cube,AP-rank,43,prefix_a,1,0,0
cube,AP-rank,43,prefix_b,1,0,0
cube,AP-rank,44,clean,1,47,80
cube,AP-rank,44,prefix_a,1,44,72
cube,AP-rank,44,prefix_b,1,25,40
cube,AP-rank,45,clean,1,33,56
cube,AP-rank,45,prefix_a,1,39,64
cube,AP-rank,45,prefix_b,1,25,40
cube,AP-rank,46,clean,1,28,48
cube,AP-rank,46,prefix_a,1,31,56
cube,AP-rank,46,prefix_b,1,30,48
cube,AP-rank,47,clean,1,39,64
cube,AP-rank,47,prefix_a,1,45,72
cube,AP-rank,47,prefix_b,0,150,240
cube,AP-rank,48,clean,0,150,240
cube,AP-rank,48,prefix_a,0,150,240
cube,AP-rank,48,prefix_b,0,150,240
cube,AP-rank,49,clean,0,150,240
cube,AP-rank,49,prefix_a,0,150,240
cube,AP-rank,49,prefix_b,0,150,240
cube,AP-rank,50,clean,1,37,64
cube,AP-rank,50,prefix_a,1,40,64
cube,AP-rank,50,prefix_b,1,40,64
cube,AP-rank,51,clean,1,22,40
cube,AP-rank,51,prefix_a,1,21,40
cube,AP-rank,51,prefix_b,0,150,240
cube,AP-rank,52,clean,1,54,88
cube,AP-rank,52,prefix_a,0,150,240
cube,AP-rank,52,prefix_b,1,54,88
cube,AP-rank,53,clean,0,150,240
cube,AP-rank,53,prefix_a,0,150,240
cube,AP-rank,53,prefix_b,0,150,240
cube,AP-rank,54,clean,1,37,64
cube,AP-rank,54,prefix_a,1,44,72
cube,AP-rank,54,prefix_b,0,150,240
cube,AP-rank,55,clean,1,36,64
cube,AP-rank,55,prefix_a,0,150,240
cube,AP-rank,55,prefix_b,0,150,240
cube,AP-rank,56,clean,0,150,240
cube,AP-rank,56,prefix_a,0,150,240
cube,AP-rank,56,prefix_b,0,150,240
cube,AP-rank,57,clean,0,150,240
cube,AP-rank,57,prefix_a,0,150,240
cube,AP-rank,57,prefix_b,0,150,240
cube,AP-rank,58,clean,1,58,96
cube,AP-rank,58,prefix_a,0,150,240
cube,AP-rank,58,prefix_b,0,150,240
cube,AP-rank,59,clean,1,36,64
cube,AP-rank,59,prefix_a,1,30,48
cube,AP-rank,59,prefix_b,1,31,56
cube,AP-rank,60,clean,1,43,72
cube,AP-rank,60,prefix_a,1,20,32
cube,AP-rank,60,prefix_b,1,27,48
cube,AP-rank,61,clean,0,150,240
cube,AP-rank,61,prefix_a,0,150,240
cube,AP-rank,61,prefix_b,0,150,240
cube,AP-rank,62,clean,0,150,240
cube,AP-rank,62,prefix_a,0,150,240
cube,AP-rank,62,prefix_b,0,150,240
cube,AP-rank,63,clean,1,24,40
cube,AP-rank,63,prefix_a,0,150,240
cube,AP-rank,63,prefix_b,1,42,72
cube,AP-rank,64,clean,1,43,72
cube,AP-rank,64,prefix_a,0,150,240
cube,AP-rank,64,prefix_b,1,43,72
cube,AP-rank,65,clean,1,22,40
cube,AP-rank,65,prefix_a,1,15,24
cube,AP-rank,65,prefix_b,1,18,32
cube,AP-rank,66,clean,1,31,56
cube,AP-rank,66,prefix_a,0,150,240
cube,AP-rank,66,prefix_b,1,29,48
cube,AP-rank,67,clean,1,24,40
cube,AP-rank,67,prefix_a,1,26,48
cube,AP-rank,67,prefix_b,0,150,240
cube,AP-rank,68,clean,1,32,56
cube,AP-rank,68,prefix_a,1,44,72
cube,AP-rank,68,prefix_b,1,45,72
cube,AP-rank,69,clean,0,150,240
